,country,city,parameter,avg_24h,pm10_aqi,pm25_aqi
100,FR,Var,pm10,13.030000003178914,12.064814817758254,0.0
101,GB,Derby,no2,39.8,0.0,0.0
102,GB,Greenwich,o3,32.69470652411966,0.0,0.0
103,GB,Newham,no2,13.73520710764552,0.0,0.0
104,FR,Yonne,no2,2.555555542310079,0.0,0.0
105,FR,Oise,pm25,2.1187500040978193,0.0,8.828125017074248
106,FR,Nord,pm10,13.427027023590362,12.432432429250335,0.0
107,FR,Aube,pm25,1.3000000268220901,0.0,5.416666778425376
108,GB,Sandy,no2,35.0,0.0,0.0
109,GB,Islington,no2,23.6842105012191,0.0,0.0
110,FR,Landes,pm25,5.250000074505806,0.0,21.87500031044086
111,FR,Loir-et-Cher,no2,2.909999966621399,0.0,0.0
112,GB,Croydon,no2,15.934408577539587,0.0,0.0
113,GB,Newham,pm25,6.934615384615385,0.0,28.894230769230774
114,FR,Loiret,pm10,9.91724132669383,9.182630858049842,0.0
115,FR,Haute-Saône,pm10,11.03333314259847,10.216049206109695,0.0
116,FR,Ain,no2,4.636363647200844,0.0,0.0
117,GB,Chesterfield,no2,14.6,0.0,0.0
118,FR,Essonne,no2,18.414705809424905,0.0,0.0
119,FR,Nièvre,o3,64.78888850741916,0.0,0.0
120,FR,Côte-d'Or,pm10,8.160000145435333,7.5555556902179015,0.0
121,FR,Isère,pm10,6.467857088361468,5.988756563297655,0.0
122,FR,Seine-et-Marne,no2,11.828571393376304,0.0,0.0
123,GB,Cardiff,no2,9.8,0.0,0.0
124,FR,Deux-Sèvres,o3,70.49090905623002,0.0,0.0
125,FR,Oise,no2,9.080000106493632,0.0,0.0
126,FR,Pas-de-Calais,o3,56.840909004211426,0.0,0.0
127,FR,Yvelines,o3,66.44666659037271,0.0,0.0
128,GB,Enfield,pm10,11.008000094095866,10.192592679718395,0.0
129,FR,Val-de-Marne,o3,61.221428462437224,0.0,0.0
130,GB,Narberth,no2,1.8,0.0,0.0
131,FR,Corrèze,pm10,8.163157914814196,7.558479550753885,0.0
132,FR,Gard,o3,69.6343743801117,0.0,0.0
133,FR,Indre-et-Loire,pm25,4.893750041723251,0.0,20.390625173846882
134,GB,Nottingham,no2,37.4,0.0,0.0
135,GB,Newport,no2,7.8,0.0,0.0
136,GB,Adur,no2,11.144086150712864,0.0,0.0
137,GB,Brighton,no2,10.8,0.0,0.0
138,FR,Seine-Saint-Denis,co,392.8333333333333,0.0,0.0
139,FR,Dordogne,pm10,9.659999990463257,8.944444435614127,0.0
140,FR,Charente-Maritime,pm10,21.666666560702854,20.061728296947088,0.0
141,FR,Charente,no2,22.14000024795532,0.0,0.0
142,FR,Pyrénées-Atlantiques,pm10,13.254838866572227,12.27299895052984,0.0
143,FR,Saône-et-Loire,pm25,3.7624999284744263,0.0,15.67708303531011
144,GB,Enfield,no2,11.692857089754822,0.0,0.0
145,GB,Brent,pm10,11.024358978638283,10.207739795035447,0.0
146,FR,Isère,no2,9.643333334724108,0.0,0.0
147,FR,Lot-et-Garonne,pm25,6.199999888737996,0.0,25.833332869741653
148,FR,Jura,pm25,4.333333412806193,0.0,18.055555886692474
149,FR,Hérault,no2,6.437931007095452,0.0,0.0
150,FR,Gironde,o3,62.583999195098876,0.0,0.0
151,FR,Vosges,pm10,11.685714312962123,10.820105845335299,0.0
152,GB,Chichester,o3,65.63118309103032,0.0,0.0
153,FR,Paris,pm10,19.777419459435247,18.312425425403006,0.0
154,GB,Middlesbrough,no2,14.2,0.0,0.0
155,GB,Hastings,no2,6.996774196624756,0.0,0.0
156,GB,West Midlands,no2,28.0,0.0,0.0
157,GB,Kensington and Chelsea,no2,11.004166583220163,0.0,0.0
158,FR,Gers,pm25,3.609999990463257,0.0,15.041666626930239
159,FR,Alpes-Maritimes,pm25,4.999999940395355,0.0,20.833333084980648
160,GB,Sunderland,no2,26.4,0.0,0.0
161,GB,Kingston,pm10,13.727272727272727,12.71043771043771,0.0
162,FR,Tarn,no2,2.9772727435285393,0.0,0.0
163,FR,Hautes-Alpes,pm25,3.5846154265678845,0.0,14.93589761069952
164,FR,Haute-Vienne,o3,59.789473960274144,0.0,0.0
165,GB,Stockton-on-Tees,no2,20.7,0.0,0.0
166,GB,Ealing,pm10,21.58288588299847,19.984153595368955,0.0
167,FR,Haute-Corse,pm25,1.933333287636439,0.0,8.05555536515183
168,FR,Loire,o3,63.08000030517578,0.0,0.0
169,GB,Merton,pm10,13.855555555555556,12.829218106995885,0.0
170,FR,Indre,no2,6.581250011920929,0.0,0.0
171,FR,Charente,pm25,4.410000038146973,0.0,18.37500015894572
172,GB,Swansea,no2,12.4,0.0,0.0
173,FR,Corse-du-Sud,pm10,26.08571434020996,24.153439203898113,0.0
174,FR,Ain,o3,69.41363716125488,0.0,0.0
175,FR,Deux-Sèvres,pm25,3.8799999713897706,0.0,16.16666654745738
176,FR,Oise,pm10,6.4954546093940735,6.014309823513031,0.0
177,FR,Pyrénées-Orientales,no2,8.123529434204102,0.0,0.0
178,GB,Honiton,no2,5.0,0.0,0.0
179,GB,Brent,no2,22.476954656373326,0.0,0.0
180,FR,Gard,pm10,8.55833331743876,7.924382701332186,0.0
181,FR,Somme,o3,64.54047611781529,0.0,0.0
182,FR,Bas-Rhin,o3,56.073684190448965,0.0,0.0
183,FR,Yonne,pm25,4.716666678587596,0.0,19.65277782744832
184,FR,Loiret,no2,8.86666673819224,0.0,0.0
185,GB,Armagh,no2,34.8,0.0,0.0
186,GB,Aston Hill,no2,0.0,0.0,0.0
187,FR,Meurthe-et-Moselle,pm10,12.579487164815268,11.647673300754878,0.0
188,FR,Jura,no2,5.114999949932098,0.0,0.0
189,GB,Haringey,no2,12.095671000934782,0.0,0.0
190,FR,Isère,pm25,1.853333330154419,0.0,7.7222222089767465
191,FR,Val-d'Oise,no2,8.415000057220459,0.0,0.0
